Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.9372937293729373,0.6410256410256411,0.8333333333333334,0.7246376811594203,0.9429792429792431
XGBoost,0.9504950495049505,0.6923076923076923,0.9,0.782608695652174,0.9789987789987791
