Model,AUC,F1,Precision,Recall
Seq-XGB Base,0.9970921334557699,0.8979591836734694,1.0,0.8148148148148148
Seq-XGB Event-weighted,0.9981634527089073,0.875,1.0,0.7777777777777778
Seq-XGB Ablation (no change),0.9592898683807773,0.6808510638297872,0.8,0.5925925925925926
